#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2
187,Mitch Garver,641598,15161,15161,9549,*031cd*,SEA,C,C,Garver,Mitch,Garver,Mitch
188,Adam Frazier,624428,15223,15223,9387,*0316t*,FA,2B/OF,2B/OF,Frazier,Adam,,
189,Mike Tauchman,643565,15274,15274,9698,*0312v*,CHC,OF,OF,Tauchman,Mike,Tauchman,Mike
190,Kris Bryant,592178,15429,15429,8644,*01ubo*,COL,1B/OF,1B/OF,Bryant,Kris,Bryant,Kris
191,Mike Mayers,594577,15451,15451,9414,*0316b*,TOR,RP,RP,Mayers,Mike,Mayers,Mike
192,Hunter Renfroe,592669,15464,15464,8968,*03022*,KC,OF,1B/OF,Renfroe,Hunter,Renfroe,Hunter
193,Lucas Giolito,608337,15474,15474,8724,*02i37*,BOS,SP,SP,Giolito,Lucas,Giolito,Lucas
194,Antonio Senzatela,622608,15488,15488,9297,*02zoa*,COL,SP,SP,Senzatela,Antonio,Senzatela,Antonio
195,J.P. Crawford,641487,15491,15491,8694,*0310z*,SEA,SS,SS,Crawford,J.P.,Crawford,J.P.
196,Chad Green,643338,15552,15552,9361,*0374o*,TOR,RP,RP,Green,Chad,Green,Chad
197,Nick Wittgren,621295,15594,15594,9319,,MIN,RP,RP,Wittgren,Nick,Wittgren,Nick
198,Aaron Judge,592450,15640,15640,8956,*02z0s*,NYY,OF,OF,Judge,Aaron,Judge,Aaron
199,Dominic Smith,642086,15653,15653,8679,*02z96*,CIN,1B,1B,Smith,Dominic,Smith,Dominic
200,Reese McGuire,624512,15674,15674,8699,*0310a*,FA,C,C,McGuire,Reese,,
201,Jose Abreu,547989,15676,15676,8626,*02i2e*,FA,1B,1B,Abreu,Jose,,
202,Rowdy Tellez,642133,15679,15679,9880,*032gq*,FA,1B,1B,Tellez,Rowdy,,
203,Miguel Castro,612434,15684,15684,8982,*0351m*,FA,RP,RP,Castro,Miguel,,
204,Luis Castillo,622491,15689,15689,9506,*03nuc*,SEA,SP,SP,Castillo,Luis,Castillo,Luis
205,Tyler Wade,642180,15730,15730,9697,*031b4*,SD,2B/SS/ 3B/OF,2B/SS/ 3B/OF,Wade,Tyler,Wade,Tyler
206,Joe Jimenez,641729,15761,15761,9644,*03as0*,ATL,RP,RP,Jimenez,Joe,Jiménez,Joe
207,Paul Fry,643316,15832,15832,9529,*031ez*,TOR,RP,RP,Fry,Paul,Fry,Paul
208,Adam Plutko,592644,15846,15846,9462,,MIN,RP,RP,Plutko,Adam,Plutko,Adam
209,Aledmys Diaz,649557,15937,15937,9269,*02y8t*,FA,SS/3B,2B/SS/ 3B,Diaz,Aledmys,,
210,Austin Nola,543592,15941,15941,9504,*02mzc*,KC,C,C,Nola,Austin,Nola,Austin
211,Cody Bellinger,641355,15998,15998,9649,*03120*,CHC,1B/OF,1B/OF,Bellinger,Cody,Bellinger,Cody
212,Carlos Rodon,607074,16137,16137,8942,*02c2r*,NYY,SP,SP,Rodon,Carlos,Rodón,Carlos
213,Aaron Nola,605400,16149,16149,8961,*02i3o*,PHI,SP,SP,Nola,Aaron,Nola,Aaron
214,J.D. Davis,605204,16219,16219,9722,*02bu2*,BAL,1B/3B,1B/3B,Davis,J.D.,Davis,J.D.
215,Trea Turner,607208,16252,16252,9132,*02c68*,PHI,SS,SS,Turner,Trea,Turner,Trea
216,Alex Blandino,607468,16271,16271,9905,,CIN,1B,1B,Blandino,Alex,Blandino,Alex
217,Michael Conforto,624424,16376,16376,8954,*02z0t*,FA,OF,OF,Conforto,Michael,,
218,Reynaldo Lopez,625643,16400,16400,9410,*03i81*,ATL,SP,SP,Lopez,Reynaldo,López,Reynaldo
219,Francisco Mejia,642336,16403,16403,9548,*03a95*,MIL,C,C,Mejia,Francisco,Mejía,Francisco
220,Christian Arroyo,624414,16434,16434,8969,*0310e*,MIL,2B,2B,Arroyo,Christian,Arroyo,Christian
221,Kyle Schwarber,656941,16478,16478,8940,*03cag*,PHI,OF,OF,Schwarber,Kyle,Schwarber,Kyle
222,Matt Chapman,656305,16505,16505,9683,*03d6s*,SF,3B,3B,Chapman,Matt,Chapman,Matt
223,Danny Jansen,643376,16535,16535,9795,*031el*,FA,C,C,Jansen,Danny,,
224,Ozzie Albies,645277,16556,16556,9721,*03fi0*,ATL,2B,2B,Albies,Ozzie,Albies,Ozzie
225,Austin Gomber,596295,16561,16561,9847,*03dbe*,COL,SP,SP,Gomber,Austin,Gomber,Austin
226,Jonathan Holder,656547,16588,16588,9447,*03dex*,TEX,RP,RP,Holder,Jonathan,Holder,Jonathan
227,Greg Allen,656185,16623,16623,9744,*03dez*,NYY,OF,OF,Allen,Greg,Allen,Greg
228,Brock Stewart,592779,16727,16727,9392,*03deu*,MIN,RP,RP,Stewart,Brock,Stewart,Brock
229,Colin Moran,592567,16909,16909,8671,*026l2*,SEA,1B,1B/3B,Moran,Colin,Moran,Colin
230,Luke Weaver,596133,16918,16918,9430,*02c5l*,NYY,RP,RP,Weaver,Luke,Weaver,Luke
231,Jonah Heim,641680,16930,16930,10705,*031b2*,TEX,C,C,Heim,Jonah,Heim,Jonah
232,Grant Holmes,656550,16944,16944,10468,*03d6p*,ATL,SP,SP,Holmes,Grant,Holmes,Grant
233,Gleyber Torres,650402,16997,16997,9778,*031t0*,FA,2B,2B,Torres,Gleyber,,
234,Raisel Iglesias,628452,17130,17130,8981,*03aqv*,ATL,RP,RP,Iglesias,Raisel,Iglesias,Raisel
235,Chad Wallach,595453,17161,17161,9740,,LAA,C,C,Wallach,Chad,Wallach,Chad
236,Austin Brice,592169,17237,17237,9316,*026jx*,MIN,RP,RP,Brice,Austin,Brice,Austin
237,Jorge Mateo,622761,17273,17273,9524,*03b6k*,BAL,2B/SS,2B/SS,Mateo,Jorge,Mateo,Jorge
238,Justus Sheffield,656954,17285,17285,9794,,CIN,RP,RP,Sheffield,Justus,Sheffield,Justus
239,Alex Bregman,608324,17678,17678,9415,*02w7p*,FA,3B,3B,Bregman,Alex,,
240,Andrew Benintendi,643217,17901,17901,9417,*03pdw*,CHW,OF,OF,Benintendi,Andrew,Benintendi,Andrew
